school,academics_grade,value_grade,diversity_grade,campus_grade,athletics_grade,party_scene_grade,safety_grade,food_grade,dorms_grade,social_sentiment,social_volume,academics_sentiment,academics_volume,campus_sentiment,campus_volume,diversity_sentiment,diversity_volume,career_sentiment,career_volume,location_sentiment,location_volume,religion_sentiment,religion_volume,spirit_sentiment,spirit_volume,avg_rating
Texas A&M,0.8604651162790699,0.9302325581395348,0.6976744186046512,0.9302325581395348,1.0,0.7674418604651163,0.9302325581395348,0.8604651162790699,0.7674418604651163,0.794625,0.0625,0.6776383333333333,0.1978021978021978,0.7159730769230769,0.5714285714285714,0.91935,0.1538461538461538,0.70965,0.2777777777777778,0.5890571428571428,0.3157894736842105,0.75,0.0,0.9035,0.0222222222222222,0.0
University of Missouri,0.7674418604651163,0.8604651162790699,0.6976744186046512,0.7674418604651163,0.9302325581395348,0.8604651162790699,0.7674418604651163,0.7674418604651163,0.6976744186046512,0.7782,0.0625,0.8197760000000001,0.1428571428571428,0.7733687499999999,0.3333333333333333,0.9735625,0.3076923076923077,0.792125,0.3888888888888889,0.96076,0.2105263157894736,0.75,0.0,0.648,0.0222222222222222,0.7750000000000001
University of Texas,0.9302325581395348,0.8604651162790699,0.8604651162790699,0.9302325581395348,0.9302325581395348,0.9302325581395348,0.7674418604651163,0.7674418604651163,0.6976744186046512,0.8054714285714286,0.375,0.6322851851851852,0.1648351648351648,0.6341,0.238095238095238,0.5718,0.2307692307692307,0.87776,0.2222222222222222,0.72605,0.2631578947368421,0.5075,1.0,0.9591,0.0888888888888888,0.8
University of Oklahoma,0.7674418604651163,0.8604651162790699,0.6976744186046512,0.8604651162790699,1.0,0.9302325581395348,0.7674418604651163,0.7674418604651163,0.6976744186046512,0.519925,0.0625,0.6540326923076923,0.1538461538461538,0.73801,0.1904761904761904,0.7870666666666667,0.2307692307692307,0.6975666666666667,0.2777777777777778,0.8752,0.2631578947368421,0.75,0.0,0.5353666666666667,0.2,0.7750000000000001
UCLA,1.0,0.7674418604651163,0.9302325581395348,1.0,0.9302325581395348,0.7674418604651163,0.7674418604651163,0.8604651162790699,0.6976744186046512,0.5871,0.0625,0.6418263157894737,0.0769230769230769,0.9286,0.1428571428571428,0.99115,0.0769230769230769,0.39405,0.0555555555555555,0.7880875,0.1578947368421052,0.75,0.0,0.6975125,0.0888888888888888,0.8
UC Berkeley,1.0,0.7674418604651163,0.9302325581395348,0.9302325581395348,0.6976744186046512,0.6976744186046512,0.6976744186046512,0.7674418604651163,0.6279069767441862,0.41735,0.25,0.4589796296296296,0.1648351648351648,0.49565,0.238095238095238,0.576,0.0769230769230769,0.39447,0.5,0.68503,0.2105263157894736,0.75,0.0,0.4648833333333333,0.0666666666666666,0.75
University of Michigan,1.0,0.7674418604651163,0.8604651162790699,1.0,1.0,0.9302325581395348,0.8604651162790699,0.9302325581395348,0.7674418604651163,0.4901875,0.1875,0.62779,0.1978021978021978,0.7353000000000001,0.5714285714285714,0.75,0.0,0.986,0.0,0.7756333333333334,0.2631578947368421,0.5,0.25,0.75,0.0,0.8500000000000001
University of Virginia,1.0,0.8604651162790699,0.7674418604651163,1.0,0.9302325581395348,0.8604651162790699,0.9302325581395348,0.8604651162790699,0.7674418604651163,0.9465,0.25,0.755225,0.0659340659340659,0.78045,0.238095238095238,0.8289666666666666,0.2307692307692307,0.8138624999999999,0.1666666666666666,0.8183625,0.3684210526315789,0.75,0.0,0.750625,0.0888888888888888,0.8
UNC Chapel Hill,1.0,0.9302325581395348,0.7674418604651163,1.0,0.9302325581395348,0.9302325581395348,0.8604651162790699,0.8604651162790699,0.6976744186046512,0.8748499999999999,0.125,0.72541875,0.1318681318681318,0.85954375,0.3333333333333333,0.741625,0.1538461538461538,0.8559749999999999,0.0555555555555555,0.90449,0.2105263157894736,0.75,0.0,0.98325,0.0222222222222222,0.8
University of Wisconsin,0.9302325581395348,0.8604651162790699,0.7674418604651163,0.9302325581395348,0.9302325581395348,1.0,0.7674418604651163,0.8604651162790699,0.7674418604651163,0.9197909090909092,0.625,0.8256096153846153,0.1538461538461538,0.8395944444444445,0.3809523809523809,0.98746,0.3846153846153846,0.8913,0.4444444444444444,0.9307916666666668,0.2631578947368421,0.529825,0.5,0.689975,0.0444444444444444,0.875
Ohio State University,0.9302325581395348,0.8604651162790699,0.7674418604651163,0.9302325581395348,1.0,0.9302325581395348,0.7674418604651163,0.7674418604651163,0.6976744186046512,0.4614,0.0,0.621271052631579,0.0769230769230769,0.66054,0.4285714285714285,0.88925,0.0769230769230769,0.6428833333333334,0.2777777777777778,0.6200857142857142,0.3157894736842105,0.75,0.0,0.5046,0.0444444444444444,0.6000000000000001
Penn State,0.8604651162790699,0.7674418604651163,0.6976744186046512,0.9302325581395348,1.0,1.0,0.7674418604651163,0.7674418604651163,0.6976744186046512,0.3469,0.0625,0.744715,0.3076923076923077,0.82595,0.2857142857142857,0.8871125,0.3076923076923077,0.8812166666666668,0.7777777777777778,0.8198857142857143,0.3157894736842105,0.75,0.0,0.8821749999999999,0.0888888888888888,0.8500000000000001
University of Illinois,0.9302325581395348,0.8604651162790699,0.8604651162790699,0.8604651162790699,0.9302325581395348,0.8604651162790699,0.7674418604651163,0.8604651162790699,0.6976744186046512,0.370525,0.0625,0.4364916666666666,0.1978021978021978,0.4831444444444444,0.3809523809523809,0.471125,0.1538461538461538,0.4649,0.1111111111111111,0.57535,0.3157894736842105,0.75,0.0,0.3638375,0.0888888888888888,0.725
Purdue University,0.9302325581395348,0.9302325581395348,0.7674418604651163,0.8604651162790699,0.8604651162790699,0.7674418604651163,0.8604651162790699,0.7674418604651163,0.7674418604651163,0.9973,0.0,0.6380785714285715,0.0989010989010989,0.76328,0.1904761904761904,0.9131,0.2307692307692307,0.54025,0.1111111111111111,0.8709,0.0,0.75,0.0,0.7483833333333333,0.1333333333333333,0.675
Indiana University,0.7674418604651163,0.8604651162790699,0.7674418604651163,0.9302325581395348,0.9302325581395348,1.0,0.7674418604651163,0.7674418604651163,0.6976744186046512,0.54525,0.3125,0.5645739130434783,0.1208791208791208,0.519195,0.4285714285714285,0.7911874999999999,0.3076923076923077,0.93739375,0.3888888888888889,0.7090000000000001,0.3157894736842105,0.75,0.0,0.489325,0.0444444444444444,0.8
